,Date,weeklyStationCount
0,2021-03-07,13593216
1,2021-03-14,14580956
2,2021-03-21,14417945
3,2021-03-28,14521851
4,2021-04-04,13379442
5,2021-04-11,13643306
6,2021-04-18,14411946
7,2021-04-25,14597657
8,2021-05-02,13874130
9,2021-05-09,13385718
10,2021-05-16,10311853
11,2021-05-23,3557439
12,2021-05-30,2825418
13,2021-06-06,2845927
14,2021-06-13,2879646
15,2021-06-20,2758101
16,2021-06-27,3326269
17,2021-07-04,3586340
18,2021-07-11,3832852
19,2021-07-18,4312921
20,2021-07-25,4396188
21,2021-08-01,5429769
22,2021-08-08,6325180
23,2021-08-15,7114155
24,2021-08-22,7436504
25,2021-08-29,7989234
